seed_key,product_kind,name,description,price,stock,image_url,suitable_size,is_breeding_dog,category_code,branch_code,breed_code,breed_type,life_stage,age_months,current_weight_kg,current_size,expected_adult_size,health_status,care_instructions
product_puppy_br_hn_01_breed_chihuahua,PUPPY,Chihuahua puppy demo BR_HN_01,"Product puppy synthetic cho môi trường dev/test/demo, không sao chép listing thị trường.",4950000,1,,SMALL,true,CAT_BREEDING_DOG,BR_HN_01,BREED_CHIHUAHUA,PUREBRED,PUPPY,8,0.9,SMALL,SMALL,DEMO_HEALTH_CHECKED,Theo dõi khẩu phần và lịch chăm sóc phù hợp với puppy trong dữ liệu demo.
product_puppy_br_hn_01_breed_phu_quoc,PUPPY,Chó Phú Quốc puppy demo BR_HN_01,"Product puppy synthetic cho môi trường dev/test/demo, không sao chép listing thị trường.",2200000,1,,MEDIUM,true,CAT_BREEDING_DOG,BR_HN_01,BREED_PHU_QUOC,PUREBRED,PUPPY,6,9.1,MEDIUM,MEDIUM,DEMO_HEALTH_CHECKED,Theo dõi khẩu phần và lịch chăm sóc phù hợp với puppy trong dữ liệu demo.
product_food_br_hn_01_01,FOOD,Thức ăn hạt demo cỡ nhỏ BR_HN_01,"Product synthetic cho môi trường dev/test/demo, không suy ra từ category raw commercial.",180000,12,,SMALL,false,CAT_FOOD,BR_HN_01,,,,,,,,,Hướng dẫn sử dụng demo theo loại Product.
product_food_br_hn_01_02,FOOD,Thức ăn hạt demo cỡ vừa BR_HN_01,"Product synthetic cho môi trường dev/test/demo, không suy ra từ category raw commercial.",240000,10,,MEDIUM,false,CAT_FOOD,BR_HN_01,,,,,,,,,Hướng dẫn sử dụng demo theo loại Product.
product_food_br_hn_01_03,FOOD,Thức ăn hạt demo cỡ lớn BR_HN_01,"Product synthetic cho môi trường dev/test/demo, không suy ra từ category raw commercial.",310000,8,,LARGE,false,CAT_FOOD,BR_HN_01,,,,,,,,,Hướng dẫn sử dụng demo theo loại Product.
product_accessory_br_hn_01_01,ACCESSORY,Vòng cổ demo cỡ nhỏ BR_HN_01,"Product synthetic cho môi trường dev/test/demo, không suy ra từ category raw commercial.",80000,15,,SMALL,false,CAT_ACCESSORY,BR_HN_01,,,,,,,,,Hướng dẫn sử dụng demo theo loại Product.
product_accessory_br_hn_01_02,ACCESSORY,Dây dắt demo cỡ vừa BR_HN_01,"Product synthetic cho môi trường dev/test/demo, không suy ra từ category raw commercial.",140000,12,,MEDIUM,false,CAT_ACCESSORY,BR_HN_01,,,,,,,,,Hướng dẫn sử dụng demo theo loại Product.
product_accessory_br_hn_01_03,ACCESSORY,Đồ chơi demo cỡ lớn BR_HN_01,"Product synthetic cho môi trường dev/test/demo, không suy ra từ category raw commercial.",120000,10,,LARGE,false,CAT_ACCESSORY,BR_HN_01,,,,,,,,,Hướng dẫn sử dụng demo theo loại Product.
product_puppy_br_dn_01_breed_poodle,PUPPY,Poodle puppy demo BR_DN_01,"Product puppy synthetic cho môi trường dev/test/demo, không sao chép listing thị trường.",2050000,1,,SMALL,true,CAT_BREEDING_DOG,BR_DN_01,BREED_POODLE,PUREBRED,PUPPY,8,2.3,SMALL,SMALL,DEMO_HEALTH_CHECKED,Theo dõi khẩu phần và lịch chăm sóc phù hợp với puppy trong dữ liệu demo.
product_puppy_br_dn_01_breed_chihuahua,PUPPY,Chihuahua puppy demo BR_DN_01,"Product puppy synthetic cho môi trường dev/test/demo, không sao chép listing thị trường.",6050000,1,,SMALL,true,CAT_BREEDING_DOG,BR_DN_01,BREED_CHIHUAHUA,PUREBRED,PUPPY,8,1.2,SMALL,SMALL,DEMO_HEALTH_CHECKED,Theo dõi khẩu phần và lịch chăm sóc phù hợp với puppy trong dữ liệu demo.
product_puppy_br_dn_01_breed_phu_quoc,PUPPY,Chó Phú Quốc puppy demo BR_DN_01,"Product puppy synthetic cho môi trường dev/test/demo, không sao chép listing thị trường.",2400000,1,,MEDIUM,true,CAT_BREEDING_DOG,BR_DN_01,BREED_PHU_QUOC,PUREBRED,PUPPY,6,6.6,MEDIUM,MEDIUM,DEMO_HEALTH_CHECKED,Theo dõi khẩu phần và lịch chăm sóc phù hợp với puppy trong dữ liệu demo.
product_food_br_dn_01_01,FOOD,Thức ăn hạt demo cỡ nhỏ BR_DN_01,"Product synthetic cho môi trường dev/test/demo, không suy ra từ category raw commercial.",180000,12,,SMALL,false,CAT_FOOD,BR_DN_01,,,,,,,,,Hướng dẫn sử dụng demo theo loại Product.
product_food_br_dn_01_02,FOOD,Thức ăn hạt demo cỡ vừa BR_DN_01,"Product synthetic cho môi trường dev/test/demo, không suy ra từ category raw commercial.",240000,10,,MEDIUM,false,CAT_FOOD,BR_DN_01,,,,,,,,,Hướng dẫn sử dụng demo theo loại Product.
product_food_br_dn_01_03,FOOD,Thức ăn hạt demo cỡ lớn BR_DN_01,"Product synthetic cho môi trường dev/test/demo, không suy ra từ category raw commercial.",310000,8,,LARGE,false,CAT_FOOD,BR_DN_01,,,,,,,,,Hướng dẫn sử dụng demo theo loại Product.
product_accessory_br_dn_01_01,ACCESSORY,Vòng cổ demo cỡ nhỏ BR_DN_01,"Product synthetic cho môi trường dev/test/demo, không suy ra từ category raw commercial.",80000,15,,SMALL,false,CAT_ACCESSORY,BR_DN_01,,,,,,,,,Hướng dẫn sử dụng demo theo loại Product.
product_accessory_br_dn_01_02,ACCESSORY,Dây dắt demo cỡ vừa BR_DN_01,"Product synthetic cho môi trường dev/test/demo, không suy ra từ category raw commercial.",140000,12,,MEDIUM,false,CAT_ACCESSORY,BR_DN_01,,,,,,,,,Hướng dẫn sử dụng demo theo loại Product.
product_accessory_br_dn_01_03,ACCESSORY,Đồ chơi demo cỡ lớn BR_DN_01,"Product synthetic cho môi trường dev/test/demo, không suy ra từ category raw commercial.",120000,10,,LARGE,false,CAT_ACCESSORY,BR_DN_01,,,,,,,,,Hướng dẫn sử dụng demo theo loại Product.
