seed_key,name,breed,size,age_months,weight_kg,gender,vaccination_status,image_url,description,branch_code
dog_alaskan_malamute_2,Gạo,Alaskan Malamute,LARGE,24,41.4,FEMALE,PARTIALLY_VACCINATED,,"Alaskan Malamute thân thiện, phù hợp tìm mái ấm mới.",BR_HN_01
dog_golden_retriever_1,Nắng,Golden Retriever,LARGE,29,28.4,MALE,NOT_VACCINATED,,"Golden Retriever thân thiện, phù hợp tìm mái ấm mới.",BR_DN_01
dog_golden_retriever_2,Sỏi,Golden Retriever,LARGE,27,25.2,FEMALE,FULLY_VACCINATED,,"Golden Retriever thân thiện, phù hợp tìm mái ấm mới.",BR_HCM_01
dog_labrador_retriever_1,Linh,Labrador Retriever,LARGE,30,34.4,MALE,PARTIALLY_VACCINATED,,"Labrador Retriever thân thiện, phù hợp tìm mái ấm mới.",BR_HN_01
dog_labrador_retriever_2,Mèo,Labrador Retriever,LARGE,22,26.2,FEMALE,NOT_VACCINATED,,"Labrador Retriever thân thiện, phù hợp tìm mái ấm mới.",BR_DN_01
dog_pomeranian_1,Vừng,Pomeranian,SMALL,17,2.9,MALE,FULLY_VACCINATED,,"Pomeranian thân thiện, phù hợp tìm mái ấm mới.",BR_HCM_01
dog_pomeranian_2,Bắp Nhỏ,Pomeranian,SMALL,16,1.9,FEMALE,PARTIALLY_VACCINATED,,"Pomeranian thân thiện, phù hợp tìm mái ấm mới.",BR_HN_01
dog_hmong_coc_duoi_1,Mây Nhỏ,Chó H'Mông cộc đuôi,MEDIUM,15,17.7,MALE,NOT_VACCINATED,,"Chó H'Mông cộc đuôi thân thiện, phù hợp tìm mái ấm mới.",BR_DN_01
dog_hmong_coc_duoi_2,Sữa Nhỏ,Chó H'Mông cộc đuôi,MEDIUM,18,22.8,FEMALE,FULLY_VACCINATED,,"Chó H'Mông cộc đuôi thân thiện, phù hợp tìm mái ấm mới.",BR_HCM_01
dog_samoyed_1,Nâu Nhỏ,Samoyed,LARGE,28,18.0,MALE,PARTIALLY_VACCINATED,,"Samoyed thân thiện, phù hợp tìm mái ấm mới.",BR_HN_01
dog_samoyed_2,Mơ Nhỏ,Samoyed,LARGE,29,22.2,FEMALE,NOT_VACCINATED,,"Samoyed thân thiện, phù hợp tìm mái ấm mới.",BR_DN_01
